DHID,Drill_Type,x,y,z
DH_219,RC,899.7669999999925,1400.0379999997094,19.07499999999999
DH_220,RC,749.7700000000186,1100.097000000067,14.080000000000041
DH_221,RC,799.7939999999944,799.8859999999404,10.652000000000044
DH_222,RC,899.6140000000014,1299.7900000000373,18.146000000000015
DH_223,RC,549.3859999999986,399.9809999996796,4.841000000000008
DH_224,RC,789.7289999999921,499.84499999973923,7.720000000000027
DH_225,RC,849.5270000000019,1099.9859999995679,15.15300000000002
DH_226,RC,646.3030000000144,403.2920000003651,5.489000000000033
DH_227,RC,519.5050000000047,50.04800000041723,2.3969999999999914
DH_228,RC,859.5120000000461,490.9879999998957,8.598000000000013
DH_229,RC,454.3870000000461,50.019999999552965,1.7280000000000086
DH_230,RC,899.8110000000452,500.0470000002533,9.682000000000016
DH_231,RC,409.98399999999674,48.563000000081956,1.4180000000000064
DH_232,RC,699.3640000000014,600.0180000001565,8.578000000000031
DH_233,RC,638.554999999993,499.9850000003353,6.198000000000036
DH_234,RC,695.7669999999925,700.0729999998584,9.29000000000002
DH_235,RC,802.505999999994,600.0959999999031,9.060000000000002
DH_236,RC,798.3720000000321,700.3770000003278,9.420000000000016
DH_237,RC,635.6650000000373,500.0540000004694,6.164000000000044
DH_238,RC,594.8300000000163,699.9689999995753,8.427999999999997
DH_239,RC,600.0530000000144,599.8679999997839,8.033000000000015
DH_240,RC,494.6000000000349,699.9349999995902,9.254000000000019
DH_241,RC,536.3250000000116,500.0259999996051,6.218000000000018
DH_242,RC,549.4770000000135,599.6619999995455,7.281000000000006
DH_243,RC,395.54200000001583,700.0839999997988,8.773000000000025
DH_244,RC,890.7080000000424,699.9769999999553,10.822000000000003
DH_245,RC,445.91500000003725,799.9759999997914,10.437999999999988
DH_246,RC,485.3610000000335,499.9309999998659,6.043000000000006
DH_247,RC,395.9670000000042,799.9199999999255,10.234000000000037
DH_248,RC,437.3660000000382,500.03899999987334,6.258000000000038
DH_249,RC,498.4580000000424,599.9330000001937,7.3910000000000196
DH_250,RC,302.7030000000377,800.0870000002906,10.465000000000032
DH_251,RC,885.6100000000442,1000.0729999998584,13.237000000000023
DH_252,RC,746.7330000000075,799.8509999997914,11.257000000000005
DH_253,RC,841.4610000000102,1000.0640000002459,13.12700000000001
DH_254,RC,399.4560000000056,600.1270000003278,7.2239999999999895
DH_255,RC,574.5489999999991,900.0109999999404,10.677000000000021
DH_256,RC,343.6170000000275,1050.071000000462,14.245000000000005
DH_257,RC,348.3300000000163,600.105000000447,7.459000000000003
DH_258,RC,777.710000000021,899.910000000149,11.730000000000018
DH_259,RC,399.79200000001583,1050.0120000001043,14.164000000000044
DH_260,RC,524.8040000000037,900.0159999998286,10.758000000000038
DH_261,RC,801.3610000000335,1099.9840000001714,14.136000000000024
DH_262,RC,793.619000000006,1000.0429999995977,12.939999999999998
DH_263,RC,425.7390000000014,899.9510000003502,12.189999999999998
DH_264,RC,375.61900000000605,900.0329999998212,12.227000000000032
DH_265,RC,741.5300000000279,1000.026999999769,12.42900000000003
DH_266,RC,893.4100000000326,1100.0740000000224,14.434000000000026
DH_267,RC,954.0610000000452,1302.5429999995977,16.991000000000042
DH_268,RC,598.2950000000419,1199.9859999995679,13.855000000000018
DH_269,RC,502.5709999999963,1299.9859999995679,14.741000000000042
DH_270,RC,641.5260000000126,1000.0159999998286,12.342000000000041
DH_271,RC,600.6160000000382,1299.9060000004247,14.624000000000024
DH_272,RC,585.3319999999949,1300.1080000000075,14.694999999999993
DH_273,RC,590.6039999999921,1000.019999999553,11.862000000000023
DH_274,RC,649.3410000000149,1399.9970000004396,16.261000000000024
DH_275,RC,1051.0470000000205,15.799999999813735,4.338000000000022
DH_276,RC,962.5350000000326,14.259999999776483,3.576000000000022
DH_277,RC,997.5599999999977,1499.8969999998808,19.910000000000025
DH_278,RC,607.2580000000307,1400.1220000004396,15.890000000000043
DH_279,RC,801.6660000000265,0.0,3.3530000000000086
DH_280,RC,949.5709999999963,1499.9790000002831,19.53000000000003
DH_281,RC,907.5979999999981,201.20799999963492,5.559000000000026
DH_282,RC,749.5050000000047,0.071000000461936,3.049000000000035
DH_283,RC,817.125,110.08600000012666,4.448000000000036
DH_284,RC,850.5109999999986,199.98699999973178,5.271000000000015
DH_285,RC,798.4679999999935,200.01499999966472,5.528999999999996
DH_286,RC,771.1670000000158,109.46100000012666,5.189999999999998
DH_287,RC,801.3680000000168,299.9280000003055,6.092000000000041
DH_288,RC,901.8570000000182,300.0669999998063,6.7520000000000095
DH_289,RC,911.5819999999949,399.9900000002235,8.039000000000044
DH_290,RC,699.4420000000391,200.04999999981374,4.5190000000000055
DH_291,RC,854.7719999999972,399.99100000038743,7.211000000000013
DH_292,RC,678.4770000000135,300.12100000027567,4.595000000000027
DH_293,RC,597.5120000000461,200.02799999993294,4.2660000000000196
DH_294,RC,581.6469999999972,299.99299999978393,4.557000000000016
DH_295,RC,751.869000000006,400.04299999959767,7.069999999999993
DH_296,RC,458.7250000000349,399.9409999996424,5.090000000000032
DH_297,RC,458.77700000000186,403.9199999999255,5.187999999999988
DH_298,RC,660.9590000000317,599.8640000000596,7.548000000000002
DH_299,RC,861.6970000000438,797.179999999702,10.927999999999997
DH_300,RC,611.5320000000065,1094.179999999702,13.121000000000038
DH_301,RC,990.25900000002,1304.3909999998286,17.697000000000003
DH_302,RC,654.8479999999981,1299.9869999997318,15.083000000000027
DH_303,RC,750.2179999999935,1396.4790000002831,17.855999999999995
DH_304,RC,751.6330000000307,1449.0310000004247,18.230000000000018
DH_305,RC,499.6940000000177,1399.9910000003874,15.922000000000025
DH_306,RC,454.3730000000214,1399.7390000000596,17.364000000000033
DH_307,RC,551.6670000000158,1400.3009999999776,15.951999999999998
DH_308,RC,448.5810000000056,1302.3899999996647,15.321000000000026
DH_309,RC,402.9580000000424,1200.6509999996051,14.559000000000026
DH_310,RC,449.5800000000163,1199.7819999996573,13.831999999999994
DH_311,RC,543.0500000000466,1151.3269999995828,13.153999999999996
