X,Y,Z,THICKNESS
-6353.0,36329.0,0.5,3.34
-4198.0,35044.0,0.5,2.98
-5163.0,36224.0,0.5,2.88
-3475.0,34442.0,0.5,2.23
-3307.0,34687.0,0.5,2.5
-3862.0,34333.0,0.5,2.52
-4770.0,34383.0,0.5,3.19
-4208.0,37409.0,0.5,3.15
-5339.0,36971.0,0.5,3.07
-3157.0,33752.0,0.5,1.57
-5617.0,37435.0,0.5,3.07
-6073.0,35576.0,0.5,2.69
-5557.0,37290.0,0.5,3.33
