DHID,SampleID,X,Y,Z,True,Estimate
DDH-0022,282,897.18056,12284.309,1042.3398,2.13399,2.2719603
DDH-0022,283,896.82133,12285.999,1037.6479,0.53304,2.1686279
DDH-0022,284,896.45642,12287.688,1032.956,0.73216,2.157404
DDH-0022,285,896.09444,12289.364,1028.3017,1.79662,1.9498414
DDH-0023,286,701.61014,12196.08,1159.3468,0.0079,-0.56534347
DDH-0023,287,701.53971,12200.819,1160.9416,0.0079,-0.49908105
DDH-0023,288,701.45499,12205.564,1162.5141,0.0079,-0.26727985
DDH-0023,289,701.356,12210.317,1164.0642,0.0079,-0.065106483
DDH-0023,290,698.47338,12277.516,1183.3904,5.96783,3.1370241
DDH-0023,291,698.16082,12282.358,1184.5995,2.39478,3.1152125
DDH-0023,292,697.83408,12287.204,1185.7856,2.87665,3.0800002
DDH-0023,293,697.48694,12292.056,1186.9444,2.03177,2.8926526
DDH-0023,294,697.08203,12296.915,1188.0505,3.90473,2.6863378
DDH-0023,295,696.61324,12301.781,1189.0995,4.99699,2.5968866
DDH-0023,296,696.08071,12306.653,1190.0909,5.90112,2.4362027
DDH-0023,297,695.48459,12311.528,1191.0247,6.79744,2.3106665
DDH-0023,298,694.82507,12316.406,1191.9003,1.76712,2.2370265
DDH-0023,299,694.10233,12321.286,1192.7177,1.30257,2.1550771
DDH-0023,300,693.3166,12326.165,1193.4765,2.14237,2.1209656
DDH-0023,301,692.46809,12331.043,1194.1766,0.13915,2.0629827
DDH-0023,302,691.55987,12335.917,1194.8203,0.01104,1.9202513
DDH-0023,303,691.06026,12338.554,1195.1608,0.0236,1.840731
DDH-0024,304,1016.6739,12303.68,1120.9344,0.25203,5.1853281
DDH-0024,305,1016.4434,12306.756,1116.9998,2.54785,4.5600828
DDH-0024,306,1016.2103,12309.836,1113.0681,4.00989,3.9162657
DDH-0025,307,1022.7762,12245.386,1040.1679,2.92681,4.7564501
DDH-0025,308,1022.8208,12246.647,1035.3295,3.90775,4.8080264
DDH-0025,309,1022.8667,12247.907,1030.4912,4.18595,4.8813696
DDH-0025,310,1022.913,12249.172,1025.654,3.4862,4.6578998
DDH-0025,311,1022.96,12250.44,1020.8179,2.70084,4.5254084
DDH-0025,312,1023.0075,12251.713,1015.9827,2.61585,4.0819076
DDH-0025,313,1023.0551,12252.986,1011.1477,0.73746,3.8075795
DDH-0025,314,1023.1027,12254.259,1006.3127,0.01133,3.5127987
DDH-0025,315,1023.1502,12255.532,1001.4777,2.20247,3.2241484
DDH-0025,316,1023.1978,12256.805,996.64269,1.43783,3.2504001
DDH-0025,317,1023.2454,12258.078,991.80769,0.31249,3.0334493
DDH-0025,318,1023.2929,12259.351,986.97268,0.69697,2.8680447
DDH-0025,319,1023.3405,12260.624,982.13767,0.90944,2.544584
DDH-0025,320,1023.3881,12261.897,977.30266,2.24312,2.0847432
DDH-0025,321,1023.4356,12263.17,972.46766,0.85865,1.8825778
DDH-0025,322,1023.4793,12264.339,968.02428,1.0065,2.0721646
DDH-0026,323,782.43526,12272.912,1168.0939,8.11098,3.6234494
DDH-0026,324,782.41729,12276.13,1164.267,4.1211,3.4934155
DDH-0026,325,782.39932,12279.348,1160.4402,4.5819,3.3117731
DDH-0026,326,782.38135,12282.566,1156.6133,3.11804,3.2055119
DDH-0026,327,782.36337,12285.784,1152.7865,4.55414,3.1084079
DDH-0026,328,782.3454,12289.002,1148.9596,4.66448,2.9982109
DDH-0026,329,782.32743,12292.219,1145.1328,5.4613,2.6834445
DDH-0026,330,782.30946,12295.437,1141.3059,1.41598,2.5326339
DDH-0026,331,782.29148,12298.655,1137.479,1.57438,2.3243265
DDH-0026,332,782.27351,12301.873,1133.6522,0.7367,2.3323991
DDH-0026,333,782.25554,12305.091,1129.8253,0.51682,2.2218772
DDH-0026,334,782.23757,12308.309,1125.9985,0.3612,2.1590993
DDH-0026,335,782.2196,12311.527,1122.1716,1.62123,2.0095222
DDH-0026,336,782.20162,12314.745,1118.3448,0.41938,1.9123564
DDH-0026,337,782.18365,12317.963,1114.5179,1.68344,1.765605
DDH-0026,338,782.16568,12321.18,1110.6911,1.18428,1.6048489
DDH-0026,339,782.14771,12324.398,1106.8642,0.80606,1.4275557
DDH-0026,340,782.12973,12327.616,1103.0374,2.36522,1.3018992
DDH-0026,341,782.11176,12330.834,1099.2105,0.66461,1.1007977
DDH-0026,342,782.09379,12334.052,1095.3836,1.72302,0.74164882
DDH-0026,343,782.07582,12337.27,1091.5568,0.07067,-0.030379082
