DHID,FROM,TO,x,y,z,startx,starty,startz,endx,endy,endz,CU,ELEM_A,ELEM_B,ELEM_C,ELEM_D,DENSITY,GEOCODE
DDH-0004,45,50,899.1136791,12275.57084,1190.918349,899.1241697,12273.98911,1192.854331,899.1031885,12277.15257,1188.982368,,,,,,,C
DDH-0004,50,55,899.0926979,12278.7343,1187.046386,899.1031885,12277.15257,1188.982368,899.0822074,12280.31603,1185.110405,,,,,,,C
DDH-0004,55,60,899.0717168,12281.89776,1183.174423,899.0822074,12280.31603,1185.110405,899.0612262,12283.47948,1181.238441,,,,,,,C
DDH-0004,60,65,899.0507356,12285.06121,1179.30246,899.0612262,12283.47948,1181.238441,899.0402451,12286.64294,1177.366478,,,,,,,C
DDH-0004,65,70,899.0297545,12288.22467,1175.430497,899.0402451,12286.64294,1177.366478,899.0192639,12289.8064,1173.494515,,,,,,,C
DDH-0004,70,75,899.0087733,12291.38813,1171.558533,899.0192639,12289.8064,1173.494515,898.9982828,12292.96986,1169.622552,,,,,,,C
DDH-0004,75,80,898.9877922,12294.55158,1167.68657,898.9982828,12292.96986,1169.622552,898.9773016,12296.13331,1165.750588,,,,,,,C
DDH-0004,80,85,898.966811,12297.71504,1163.814607,898.9773016,12296.13331,1165.750588,898.9563205,12299.29677,1161.878625,,,,,,,C
DDH-0004,85,90,898.9458299,12300.8785,1159.942644,898.9563205,12299.29677,1161.878625,898.9353393,12302.46023,1158.006662,3.276902166,2.111787004,155.4117581,659.0917143,3.043512635,4.319287736,F
DDH-0004,90,95,898.9248487,12304.04196,1156.07068,898.9353393,12302.46023,1158.006662,898.9143582,12305.62368,1154.134699,3.344230491,2.48616,191.788524,1314.499,3.7587475,4.356228,OR1
DDH-0004,95,100,898.9038676,12307.20541,1152.198717,898.9143582,12305.62368,1154.134699,898.893377,12308.78714,1150.262736,1.5230864,1.595925743,135.3036975,1206.8419,1.864802,4.350019277,OR2
DDH-0004,100,105,898.8828864,12310.36887,1148.326754,898.893377,12308.78714,1150.262736,898.8723959,12311.9506,1146.390772,0.6616256,1.18084,52.331816,2876.26096,4.11864,4.55236,OR2
DDH-0004,105,110,898.8619053,12313.53233,1144.454791,898.8723959,12311.9506,1146.390772,898.8514147,12315.11406,1142.518809,0.3638930233,0.8443,14.14766,1860.336,4.265,4.49054,OR2
DDH-0004,110,115,898.8409241,12316.69578,1140.582828,898.8514147,12315.11406,1142.518809,898.8304336,12318.27751,1138.646846,0.47256,0.505,25.155,1218.244,2.7346,4.4266,OR2
DDH-0004,115,120,898.819943,12319.85924,1136.710864,898.8304336,12318.27751,1138.646846,898.8094524,12321.44097,1134.774883,0.34714,0.6126,19.813,1006.475,3.2634,4.256,OR2
DDH-0004,120,125,898.7989618,12323.0227,1132.838901,898.8094524,12321.44097,1134.774883,898.7884713,12324.60443,1130.902919,0.56282,0.89775,1.9408,500.79,1.85,4.5296,OR2
