x,y,z,Au:shell,Cu:shell
19863.9135,18683.8366,288.7000,0,0
19863.0498,18715.4476,288.7000,0,0
19866.4700,18706.0507,288.7000,0,0
19869.8902,18696.6537,288.7000,0,0
19873.3104,18687.2568,288.7000,0,0
19869.0266,18728.2647,288.7000,0,0
19872.4468,18718.8678,288.7000,0,0
19875.8670,18709.4709,288.7000,0,0
19879.2872,18700.0739,288.7000,0,0
19882.7074,18690.6770,288.7000,0,0
19881.8437,18722.2880,288.7000,0,0
19885.2639,18712.8911,288.7000,0,0
19888.6841,18703.4941,288.7000,0,0
19892.1043,18694.0972,288.7000,0,0
19866.4700,18706.0507,298.7000,0,0
19869.8902,18696.6537,298.7000,0,0
19875.8670,18709.4709,298.7000,0,0
19879.2872,18700.0739,298.7000,0,0
19894.6608,18716.3113,258.7000,0,0
19898.0810,18706.9143,258.7000,0,0
19891.2406,18725.7082,268.7000,0,0
19894.6608,18716.3113,268.7000,0,0
19898.0810,18706.9143,268.7000,0,0
19901.5012,18697.5174,268.7000,0,0
19891.2406,18725.7082,278.7000,0,0
19894.6608,18716.3113,278.7000,0,0
19898.0810,18706.9143,278.7000,0,0
20083.5320,18519.0103,248.7000,0,0
20086.9522,18509.6134,248.7000,0,0
20090.3724,18500.2165,248.7000,0,0
20089.5088,18531.8275,248.7000,0,0
20092.9290,18522.4305,248.7000,0,0
20096.3492,18513.0336,248.7000,0,0
20099.7694,18503.6367,248.7000,0,0
20102.3259,18525.8507,248.7000,0,0
20105.7461,18516.4538,248.7000,0,0
20109.1663,18507.0569,248.7000,0,0
20111.7228,18529.2709,248.7000,0,0
20115.1430,18519.8740,248.7000,0,0
20074.1351,18515.5901,258.7000,0,0
20077.5553,18506.1932,258.7000,0,0
20080.9755,18496.7963,258.7000,0,0
20080.1118,18528.4073,258.7000,0,0
20083.5320,18519.0103,258.7000,0,0
20086.9522,18509.6134,258.7000,0,0
20090.3724,18500.2165,258.7000,0,0
